id,chinese,latin,family,category,definition
121,喇叭水仙,Narcissus pseudo-narcissus,石蒜科,水仙属,pseudo-narcissus，假水仙。
122,中国水仙,Narcissus tazetta var. chinensis,石蒜科,水仙属,tazetta，水仙花。
123,荷花,Nelumbo nucifera,睡莲科,莲属,nucifera，产坚果的。
124,巢蕨,Neottopteris nidus,铁角蕨科,巢蕨属,nidus，鸟巢的。
125,肾蕨属,Nephrolepis,骨碎补科,肾蕨属,Nephrolepis，肾形鳞片的。
126,红花烟草,Nicotiana × sanderae,茄科,烟草属,Nicotiana，Jean Nicot（人名）。
127,令箭荷花,Nopalxochia ackermannii,仙人掌科,令箭荷花属,ackermannii，Ackermann（人名）。
128,萍蓬莲,Nupahar pumilum,睡莲科,萍蓬草属,pumilum，矮小的。
129,睡莲属,Nymphaea,睡莲科,睡莲属,Nymphaea，神话中女神名。
130,荇菜,Nymphoides peltata,龙胆科,荇菜属,peltata，盾状的。
131,瘤瓣兰属,Oncidium,兰科,瘤瓣兰属,Onkos，瘤;eides，形。
132,仙人掌,Opuntia dillenii,仙人掌科,仙人掌属,dillenii，Dillenius（人名）。
133,芍药,Paeonia lactiflora,芍药科,芍药属,lactiflora，乳白色花的。
134,冰岛罂粟,Papaver nudicaule,罂粟科,罂粟属,nudicaule，裸茎的。
135,东方罂粟,Papaver orientale,罂粟科,罂粟属,orientale，东方的。
136,虞美人,Papaver rhoeas,罂粟科,罂粟属,rhoeas，虞美人。
137,兜兰属,Paphiopedilum,兰科,兜兰属,Paphos，圣地维纳斯;pedilon，拖鞋。
138,大花天竺葵,Pelargonium × domesticum,牻牛儿苗科,天竺葵属,
139,天竺葵,Pelargonium hortorum,牻牛儿苗科,天竺葵属,hortorum，庭院栽培的。
140,盾叶天竺葵,Pelargonium peltatum,牻牛儿苗科,天竺葵属,peltatum，盾状的。
141,钓钟柳类,Penstemon,玄参科,钓钟柳属,Penstemon，5个雄蕊。
142,豆瓣绿属,Peperomia,胡椒科,豆瓣绿属,Peper，胡椒;omma，相似。
143,矮牵牛,Petunia hybrida,茄科,碧冬茄属,hybrida，杂交的。
144,蝴蝶兰属,Phalaenopsis,兰科,蝴蝶兰属,Phala，蛾蝶;opsis，模样。
145,大花牵牛,Pharbitis nil,旋花科,牵牛属,nil，牵牛花（俗名）。
146,春芋,Philodendron selloum,天南星科,喜林芋属,selloum，Sellow（人名）的。
147,宿根福禄考,Phlox paniculata,花荵科,福禄考属,paniculata，圆锥花序的。
148,随意草,Physostegia virginiana,唇形科,假龙头花属,virginiana，弗吉尼亚的。
149,冷水花,Pilea cadierei,荨麻科,冷水花属,cadierei，Cadiere（人名）的。
150,大薸,Pistia stratiotes,天南星科,大薸属,stratiotes，大薸。
151,二叉鹿角蕨,Platycerium bifurcatum,水龙骨科,鹿角蕨属,bifurcatum，二次分叉的。
152,桔梗,Platycodon grandiflorus,桔梗科,桔梗属,grandiflorus，大花的。
153,晚香玉,Polianthes tuberose,石蒜科,晚香玉属,tuberose，块茎。
154,福禄桐属,Polyscias,五加科,福禄桐属,
155,梭鱼草,Pontederia cordata,雨久花科,梭鱼草属,cordata，心形的。
156,半支莲,Portulaca grandiflora,马齿苋科,马齿苋属,grandiflora，大花的。
157,报春花,Primula malacoides,报春花科,报春花属,malacoides，像锦葵的。
158,四季报春,Primula obconica,报春花科,报春花属,obconica，倒圆锥形的。
159,多花报春,Primula × polyantha,报春花科,报春花属,polyantha，多花的。
160,白头翁,Pulsatilla chinensis,毛茛科,白头翁属,
161,羽叶茑萝,Quamoclit pennata,旋花科,茑萝属,pennata，羽状的。
162,花毛茛,Ranunculus asiaticus,毛茛科,毛茛属,asiaticus，亚洲的。
163,金光菊类,Rudbeckia,菊科,金光菊属,Rudbeckia，人名。
164,慈姑,Sagittaria trifolia,泽泻科,慈姑属,trifolia，三叶的。
165,一串红,Salvia splendens,唇形科,鼠尾草属,splendens，光亮的。
166,虎尾兰,Sansevieria trifasciata,百合科,虎尾兰属,trifasciata，三束的。
167,鹅掌藤,Schefflera arboricola,五加科,鸭脚木属,arboricola，生于树上的。
168,水葱,Scirpus tabernaemontani,莎草科,藨草属,tabernaemontani，Tabenaemontaus（人名）的。
169,费菜,Sedum aizoon,景天科,景天属,aizoon，景天三七。
170,勘察加景天,Sedum kamtschaticum,景天科,景天属,kamtschaticum，勘察加的。
171,垂盆草,Sedum sarmentosum,景天科,景天属,sarmentosum，具长匍匐茎的。
172,蝎子草,Sedum spectabile,景天科,景天属,spectabile，醒目的。
173,卷柏属,Selaginella,卷柏科,卷柏属,
174,银叶菊,Senecio cineraria,菊科,千里光属,cineraria，灰色的。
175,瓜叶菊,Senecio cruentus,菊科,千里光属,cruentus，血红色。
176,大岩桐,Sinningia hybrida,苦苣苔科,大岩桐属,hybrida，杂交的。
177,加拿大一枝黄花,Solidago canadensis,菊科,一枝黄花属,canadensis，加拿大的。
178,白鹤芋属,Spathiphyllum,天南星科,白鹤芋属,Spathe，佛焰苞;phyllon，叶。
179,鹤望兰,Strelitzia reginae,旅人蕉科,鹤望兰属,reginae，王后。
180,万寿菊,Tagetes erecta,菊科,万寿菊属,erecta，直立的。
181,再力花,Thalia dealbata,茖叶科,再力花属,dealbata，被白粉的。
182,铁兰属,Tillandsia,凤梨科,铁兰属,Tillandsia，人名。
183,夏堇,Torenia fournieri,玄参科,蝴蝶草属,fournieri，Fournier（人名）的。
184,旱金莲,Tropaeolum majus,旱金莲科,旱金莲属,majus，较大的。
185,现代郁金香,Tulipa spp.,百合科,郁金香属,
186,香蒲,Typha angustata,蒲科,香蒲属,angustata，变窄的。
187,万带兰属,Vanda,兰科,万带兰属,Vandaka，寄生植物。
188,美女樱,Verbena × hybrida,马鞭草科,马鞭草属,Verbena，马鞭草。
189,穗状婆婆纳,Veronica spicata,玄参科,婆婆纳属,spicata，穗状的。
190,王莲,Victoria amazonica,睡莲科,王连属,amazonica，亚马逊的。
191,大花三色堇,Viola × wittrockiana,堇菜科,堇菜属,
192,丽穗凤梨属,Vriesea,凤梨科,丽穗凤梨属,Vriesea，人名。
193,马蹄莲,Zantedeschia aethiopica,天南星科,马蹄莲属,aethiopica，埃塞俄比亚的。
194,吊竹梅,Zebrina pendula,鸭跖草科,吊竹梅属,pendula，垂花的。
195,葱兰,Zephyranthes candida,石蒜科,葱兰属,candida，纯白色的。
196,韭兰,Zephyranthes carinata,石蒜科,葱兰属,carinata，龙骨状的。
197,百日草,Zinnia elegans,菊科,百日草属,elegans，雅致的。
198,蟹爪兰,Zygocactus truncactus,仙人掌科,蟹爪兰属,truncactus，截形的。
