id,questions,A,B,C,D,answer
32,蒲包花的拉丁学名是,Calceolaria herbeohybrida,Calendula officinalis,Catharanthus roseus,Caladium hortullanum,A
33,金盏菊的拉丁学名是,Calendula officinalis,Callistephus chinensis,Cosmos bipinnatus,Coreopsis tinctoria,A
34,翠菊的拉丁学名是,Celosia cristata,Callistephus chinensis,Dianthus chinensis var. heddewigii,Celosia cristata,B
35,风铃草属的拉丁学名是,Centaurea,Chrysanthemum,Campanula,Coreopsis,C
36,大花美人蕉的拉丁学名是,Caladium hortullanum,Convallaria majalis,Canna generalis,Celosia cristata,C
37,长春花的拉丁学名是,Catharanthus roseus,Digitalis purpurea,Celosia cristata,Coreopsis tinctoria,A
38,卡特兰属的拉丁学名是,Cymbidium,Maranta,Cattleya,Oncidium,C
39,鸡冠花的拉丁学名是,Celosia cristata,Cosmos bipinnatus,Coreopsis tinctoria,Dianthus barbatus,A
40,矢车菊类的拉丁学名是,Centaurea,Chrysanthemum,Campanula,Coreopsis,A
41,袖珍椰子的拉丁学名是,Chamaedorea elegans,Caladium hortullanum,Calendula officinalis,Schefflera arboricola,A
42,吊兰的拉丁学名是,Celosia cristata,Caladium hortullanum,Chlorophytum comosum,Codiaeum variegatum var. pictum,C
43,菊花的拉丁学名是,Dianthus caryophyllus,Dianthus caryophyllus,Chrysanthemum morifolium,Echinacea purpurea,C
44,菱叶葡萄属的拉丁学名是,Calathea,Cattleya,Cissus,Chamaedorea,C
45,铁线莲类的拉丁学名是,Centaurea,Chrysanthemum,Clematis,Coreopsis,C
46,大花君子兰的拉丁学名是,Calceolaria herbeohybrida,Clivia miniata,Catharanthus roseus,Caladium hortullanum,B
47,变叶木的拉丁学名是,Scirpus tabernaemontani,Caladium hortullanum,Schefflera arboricola,Codiaeum variegatum var. pictum,D
48,金鱼花属的拉丁学名是,Calceolaria,Calendula,Catharanthus ,Columnea,D
49,铃兰的拉丁学名是,Cosmos bipinnatus,Convallaria majalis,Caladium hortullanum,Celosia cristata,B
50,朱蕉属的拉丁学名是,Cordyline,Dracaena,Calathea,Maranta,A
51,金鸡菊类的拉丁学名是,Centaurea,Chrysanthemum,Campanula,Coreopsis,D
52,蛇目菊的拉丁学名是,Catharanthus roseus,Digitalis purpurea,Celosia cristata,Coreopsis tinctoria,D
53,波斯菊的拉丁学名是,Catharanthus roseus,Cosmos bipinnatus,Digitalis purpurea,Euphorbia marginata,B
54,文殊兰类的拉丁学名是,Crinum,Calathea,Campanula,Crocus,A
55,番红花类的拉丁学名是,Crinum,Calathea,Campanula,Crocus,D
56,栉花芋属的拉丁学名是,Calathea,Dracaena,Ctenant,Cordyline,C
57,仙客来的拉丁学名是,Calceolaria herbeohybrida,Calendula officinalis,Cyclamen persicum,Caladium hortullanum,C
58,兰属的拉丁学名是,Cymbidium,Maranta,Phalaenopsis,Oncidium,A
59,大丽花的拉丁学名是,Gladiolus hybridus,Dianthus caryophyllus,Lilium longiflorum,Dahlia pinnata,D
60,大花飞燕草的拉丁学名是,Dianthus caryophyllus,Echinacea purpurea,Delphinium grandiflorum,Dicentra spectabilis,C
61,石斛兰属的拉丁学名是,Paphiopedilum,Cattleya,Dendrobium,Oncidium,C
62,香石竹的拉丁学名是,Dianthus caryophyllus,Echinacea purpurea,Delphinium grandiflorum,Dicentra spectabilis,A
63,锦团石竹的拉丁学名是,Cosmos bipinnatus,Euphorbia marginata,Dianthus chinensis var. heddewigii,Eschscholtzia californica,C
64,须苞石竹的拉丁学名是,Gypsophila elegans,Dianthus chinensis var. heddewigii,Eschscholtzia californica,Dianthus barbatus,D
65,常夏石竹的拉丁学名是,Chrysanthemum morifolium,Dicentra spectabilis,Gaillardia aristata,Dianthus plumarius,D
66,荷包牡丹的拉丁学名是,Dianthus caryophyllus,Echinacea purpurea,Delphinium grandiflorum,Dicentra spectabilis,D
67,花叶万年青属的拉丁学名是,Dracaena,Dieffenbachia,Dendrobium,Dicentra,B
68,毛地黄的拉丁学名是,Digitalis purpurea,Gomphrena globosa,Helichrysum bracteatum,Dianthus barbatus,A
69,龙血树属的拉丁学名是,Calathea,Dracaena,Ctenant,Cordyline,B
70,紫松果菊的拉丁学名是,Dianthus caryophyllus,Echinacea purpurea,Delphinium grandiflorum,Dicentra spectabilis,B
71,金琥的拉丁学名是,Epipremnum aureum,Eichhornia crassipes,Euphorbia marginata,Echinocactus grusonii,D
72,凤眼莲的拉丁学名是,Nuphar pumilum,Eichhornia crassipes,Acorus calamus,Euryale ferox,B
73,绿萝的拉丁学名是,Echinocactus grusonii,Eichhornia crassipes,Euphorbia marginata,Epipremnum aureum,D
74,花菱草的拉丁学名是,Eschscholtzia californica,Impatiens balsamina,Euphorbia marginata,Gomphrena globosa,A
75,银边翠的拉丁学名是,Euphorbia marginata,Gypsophila elegans,Helichrysum bracteatum,Eschscholtzia californica,A
76,一品红的拉丁学名是,Echinocactus grusonii,Euphorbia pulcherrima,Euphorbia marginata,Fuchsia hybrida,B
77,芡的拉丁学名是,Euphorbia marginata,Eichhornia crassipes,Euryale ferox,Eschscholtzia californica,C
78,网纹草属的拉丁学名是,Hedera,Fittonia,Polyscias,Cissus,B
79,小苍兰的拉丁学名是,Epipremnum aureum,Platycodon grandiflorus,Freesia refracta,Fuchsia hybrida,C
80,倒挂金钟的拉丁学名是,Eschscholtzia californica,Eichhornia crassipes,Freesia refracta,Fuchsia hybrida,D
81,宿根天人菊的拉丁学名是,Hosta ventricosa,Echinacea purpurea,Gaillardia aristata,Iris tectorum,C
82,非洲菊的拉丁学名是,Senecio cruentus,Gypsophila elegans,Gerbera jamesonii,Gomphrena globosa,C
83,唐菖蒲的拉丁学名是,Gladiolus hybridus,Gomphrena globosa,Dahlia pinnata,Gerbera jamesonii,A
84,千日红的拉丁学名是,Gomphrena globosa,Kochia scoparia,Helichrysum bracteatum,Eschscholtzia californica,A
85,果子蔓属的拉丁学名是,Guzmania,Aechmea,Spathiphyllum,Vriesea,A
86,霞草的拉丁学名是,Gomphrena globosa,Lobularia maritima,Gypsophila elegans,Impatiens balsamina,C
87,西洋常春藤的拉丁学名是,Hedera helix,Hyacinthus orientalis,Helichrysum bracteatum,Hippeastrum hybridum,A
88,麦秆菊的拉丁学名是,Helichrysum bracteatum,Gypsophila elegans,Lobularia maritima,Matthiola incana,A
89,萱草属的拉丁学名是,Hemerocallis,Iris,Hibiscus,Gaillardia,A
90,芙蓉葵的拉丁学名是,Hibiscus moscheutos,Hippeastrum hybridum,Hosta ventricosa,Hyacinthus orientalis,A
91,杂种朱顶红的拉丁学名是,Helichrysum bracteatum,Hedera helix,Hyacinthus orientalis,Hippeastrum hybridum,D
92,玉簪的拉丁学名是,Hibiscus moscheutos,Iris germannica,Hosta plantaginea,Hosta ventricosa,C
93,紫萼的拉丁学名是,Helichrysum bracteatum,Iris tectorum,Hosta plantaginea,Hosta ventricosa,D
94,风信子的拉丁学名是,Hippeastrum hybridum,Hyacinthus orientalis,Muscari botryoides,Hedera helix,B
95,凤仙花的拉丁学名是,Impatiens walleriana,Lobularia maritima,Impatiens balsamina,Mirabilis jalapa,C
96,新几内亚凤仙的拉丁学名是,Impatiens hawkeri,Impatiens balsamina,Iris laevigata,Amaranthus tricolor,A
97,非洲凤仙的拉丁学名是,Impatiens walleriana,Lobularia maritima,Impatiens balsamina,Nicotiana × sanderae,A
98,花菖蒲的拉丁学名是,Iris ensata,Lupinus polyphyllus,Iris germannica,Iris pseudacorus,A
99,德国鸢尾的拉丁学名是,Iris pseudacorus,Iris lactea var. chinensis,Iris germannica,Iris tectorum,C
100,蝴蝶花的拉丁学名是,Iris japonica,Iris pseudacorus,Iris germannica,Iris lactea var. chinensis,A
101,马蔺的拉丁学名是,Iris ensata,Iris pseudacorus,Iris laevigata,Iris lactea var. chinensis,D
102,燕子花的拉丁学名是,Iris ensata,Iris pseudacorus,Iris laevigata,Iris lactea var. chinensis,C
103,黄菖蒲的拉丁学名是,Iris japonica,Lupinus polyphyllus,Iris ensata,Iris pseudacorus,D
104,鸢尾的拉丁学名是,Iris pseudacorus,Iris lactea var. chinensis,Iris germannica,Iris tectorum,D
105,杂种火炬花的拉丁学名是,Lupinus polyphyllus,Kochia scoparia,Kniphofia hybrida,Papaver nudicaule,C
106,地肤的拉丁学名是,Impatiens walleriana,Kochia scoparia,Lobularia maritima,Matthiola incana,B
107,蛇鞭菊的拉丁学名是,Lithops pseudotruncatella,Liatris spicata,Lythrum salicaria,Lycoris aurea,B
108,麝香百合的拉丁学名是,Lythrum salicaria,Liatris spicata,Lilium longiflorum,Lycoris aurea,C
109,生石花的拉丁学名是,Neottopteris nidus,Opuntia dillenii,Lithops pseudotruncatella,Zygocactus truncactus,C
110,香雪球的拉丁学名是,Impatiens walleriana,Kochia scoparia,Lobularia maritima,Matthiola incana,C
111,多叶羽扇豆的拉丁学名是,Lythrum salicaria,Papaver nudicaule,Lupinus polyphyllus,Liatris spicata,C
112,剪秋萝类的拉丁学名是,Pelargonium,Lupinus,Lychnis,Lythrum,C
113,忽地笑的拉丁学名是,Lythrum salicaria,Lithops pseudotruncatella,Lycoris radiata,Lycoris aurea,D
114,石蒜的拉丁学名是,Lythrum salicaria,Lithops pseudotruncatella,Lycoris radiata,Lycoris aurea,C
115,千屈菜的拉丁学名是,Lupinus polyphyllus,Lobularia maritima,Lythrum salicaria,Lycoris aurea,C
116,竹芋属的拉丁学名是,Cymbidium,Maranta,Phalaenopsis,Oncidium,B
117,紫罗兰的拉丁学名是,Mirabilis jalapa,Portulaca grandiflora,Petunia hybrida,Matthiola incana,D
118,紫茉莉的拉丁学名是,Mirabilis jalapa,Portulaca grandiflora,Petunia hybrida,Matthiola incana,A
119,龟背竹的拉丁学名是,Monstera deliciosa,Nopalxochia ackermannii,Epipremnum aureum,Matthiola incana,A
120,葡萄风信子的拉丁学名是,Narcissus pseudo-narcissus,Neottopteris nidus,Muscari botryoides,Monstera deliciosa,C
121,喇叭水仙的拉丁学名是,Zephyranthes carinata,Narcissus tazetta var. chinensis,Narcissus pseudo-narcissus,Zephyranthes carinata,C
122,中国水仙的拉丁学名是,Narcissus pseudo-narcissus,Narcissus tazetta var. chinensis,Nopalxochia ackermannii,Ranunculus asiaticus,B
123,荷花的拉丁学名是,Nelumbo nucifera,Nuphar pumilum,Nopalxochia ackermannii,Nymphoides peltata,A
124,巢蕨的拉丁学名是,Platycerium bifurcatum,Neottopteris nidus,Pelargonium peltatum,Adiantum capillus-veneris,B
125,肾蕨属的拉丁学名是,Phalaenopsis,Oncidium,Selaginella,Nephrolepis,D
126,红花烟草的拉丁学名是,Portulaca grandiflora,Petunia hybrida,Mirabilis jalapa,Nicotiana × sanderae,D
127,令箭荷花的拉丁学名是,Nopalxochia ackermannii,Lithops pseudotruncatella,Adiantum capillus-veneris,Zygocactus truncactus,A
128,萍蓬莲的拉丁学名是,Neottopteris nidus,Nopalxochia ackermannii,Narcissus pseudo-narcissus,Nuphar pumilum,D
129,睡莲属的拉丁学名是,Nuphar,Nephrolepis,Narcissus,Nymphaea,D
130,荇菜的拉丁学名是,Nelumbo nucifera,Nuphar pumilum,Nopalxochia ackermannii,Nymphoides peltata,D
131,瘤瓣兰属的拉丁学名是,Paphiopedilum,Phalaenopsis,Dendrobium,Oncidium,D
132,仙人掌的拉丁学名是,Lithops pseudotruncatella,Neottopteris nidus,Nopalxochia ackermannii,Opuntia dillenii,D
133,芍药的拉丁学名是,Paeonia lactiflora,Pelargonium × domesticum,Pelargonium peltatum,Pelargonium hortorum,A
134,冰岛罂粟的拉丁学名是,Pelargonium hortorum,Papaver nudicaule,Pelargonium peltatum,Papaver orientale,B
135,东方罂粟的拉丁学名是,Papaver orientale,Pelargonium × domesticum,Papaver nudicaule,Pelargonium peltatum,A
136,虞美人的拉丁学名是,Pharbitis nil,Papaver rhoeas,Portulaca grandiflora,Salvia splendens,B
137,兜兰属的拉丁学名是,Phalaenopsis,Paphiopedilum,Vanda,Oncidium,B
138,大花天竺葵的拉丁学名是,Phlox paniculata,Philodendron selloum,Pelargonium peltatum,Pelargonium × domesticum,D
139,天竺葵的拉丁学名是,Phlox paniculata,Pelargonium × domesticum,Pelargonium peltatum,Pelargonium hortorum,D
140,盾叶天竺葵的拉丁学名是,Pelargonium hortorum,Phlox paniculata,Pelargonium peltatum,Physostegia virginiana,C
141,钓钟柳类的拉丁学名是,Penstemon,Physostegia,Paphiopedilum,Phalaenopsis,A
142,豆瓣绿属的拉丁学名是,Paphiopedilum,Peperomia,Penstemon,Phalaenopsis,B
143,矮牵牛的拉丁学名是,Tagetes erecta,Quamoclit pennata,Papaver rhoeas,Petunia hybrida,D
144,蝴蝶兰属的拉丁学名是,Oncidium,Phalaenopsis,Paphiopedilum,Cattleya,B
145,大花牵牛的拉丁学名是,Pharbitis nil,Papaver rhoeas,Portulaca grandiflora,Salvia splendens,A
146,春芋的拉丁学名是,Billbergia pyramidalis,Philodendron selloum,Begonia semperflorens,Physostegia virginiana,B
147,宿根福禄考的拉丁学名是,Pelargonium hortorum,Platycodon grandiflorus,Phlox paniculata,Physostegia virginiana,C
148,随意草的拉丁学名是,Pelargonium hortorum,Platycodon grandiflorus,Phlox paniculata,Physostegia virginiana,D
149,冷水花的拉丁学名是,Phlox paniculata,Pilea cadierei,Pistia stratiotes,Hedera helix,B
150,大薸的拉丁学名是,Pilea cadierei,Pontederia cordata,Pistia stratiotes,Pelargonium peltatum,C
151,二叉鹿角蕨的拉丁学名是,Platycerium bifurcatum,Neottopteris nidus,Pelargonium peltatum,Adiantum capillus-veneris,A
152,桔梗的拉丁学名是,Pelargonium hortorum,Platycodon grandiflorus,Phlox paniculata,Physostegia virginiana,B
153,晚香玉的拉丁学名是,Polianthes tuberose,Pontederia cordata,Portulaca grandiflora,Portulaca grandiflora,A
154,福禄桐属的拉丁学名是,Polyscias,Hedera,Cissus,Aglaonema,A
155,梭鱼草的拉丁学名是,Polianthes tuberose,Pontederia cordata,Portulaca grandiflora,Physostegia virginiana,B
156,半支莲的拉丁学名是,Pharbitis nil,Quamoclit pennata,Tagetes erecta,Portulaca grandiflora,D
157,报春花的拉丁学名是,Primula malacoides,Impatiens hawkeri,Epipremnum aureum,Primula obconica,A
158,四季报春的拉丁学名是,Primula × polyantha,Primula malacoides,Epipremnum aureum,Primula obconica,D
159,多花报春的拉丁学名是,Primula × polyantha,Primula malacoides,Epipremnum aureum,Primula obconica,A
160,白头翁的拉丁学名是,Pelargonium hortorum,Ranunculus asiaticus,Pulsatilla chinensis,Papaver orientale,C
161,羽叶茑萝的拉丁学名是,Quamoclit pennata,Tropaeolum majus,Torenia fournieri,Tagetes erecta,A
162,花毛茛的拉丁学名是,Ranunculus asiaticus,Pulsatilla chinensis,Philodendron selloum,Physostegia virginiana,A
163,金光菊类的拉丁学名是,Platycodon,Rudbeckia,Penstemon,Senecio,B
164,慈姑的拉丁学名是,Senecio cruentus,Sagittaria trifolia,Sansevieria trifasciata,Schefflera arboricola,B
165,一串红的拉丁学名是,Tagetes erecta,Salvia splendens,Quamoclit pennata,Torenia fournieri,B
166,虎尾兰的拉丁学名是,Sinningia hybrida,Sansevieria trifasciata,Schefflera arboricola,Salvia splendens,B
167,鹅掌藤的拉丁学名是,Scirpus tabernaemontani,Sansevieria trifasciata,Sedum spectabile,Schefflera arboricola,D
168,水葱的拉丁学名是,Scirpus tabernaemontani,Sedum kamtschaticum,Schefflera arboricola,Salvia splendens,A
169,费菜的拉丁学名是,Sedum aizoon,Sedum kamtschaticum,Sedum sarmentosum,Sedum spectabile,A
170,勘察加景天的拉丁学名是,Sedum spectabile,Sedum sarmentosum,Solidago canadensis,Sedum kamtschaticum,D
171,垂盆草的拉丁学名是,Sedum kamtschaticum,Sedum sarmentosum,Sedum spectabile,Sedum aizoon,B
172,蝎子草的拉丁学名是,Sedum kamtschaticum,Sedum spectabile,Sedum sarmentosum,Sedum aizoon,B
173,卷柏属的拉丁学名是,Dendrobium,Nephrolepis,Selaginella,Paphiopedilum,B
174,银叶菊的拉丁学名是,Senecio cruentus,Sedum sarmentosum,Senecio cineraria,Sedum aizoon,C
175,瓜叶菊的拉丁学名是,Sedum aizoon,Sedum spectabile,Senecio cineraria,Senecio cruentus,D
176,大岩桐的拉丁学名是,Sinningia hybrida,Codiaeum variegatum var. pictum,Strelitzia reginae,Zantedeschia aethiopica,A
177,加拿大一枝黄花的拉丁学名是,Scirpus tabernaemontani,Schefflera arboricola,Solidago canadensis,Senecio cineraria,C
178,白鹤芋属的拉丁学名是,Spathiphyllum,Guzmania,Aechmea,Vriesea,A
179,鹤望兰的拉丁学名是,Sinningia hybrida,Pilea cadierei,Strelitzia reginae,Zantedeschia aethiopica,C
180,万寿菊的拉丁学名是,Tagetes erecta,Salvia splendens,Quamoclit pennata,Torenia fournieri,A
181,再力花的拉丁学名是,Thalia dealbata,Althaea rosea,Tropaeolum majus,Torenia fournieri,A
182,铁兰属的拉丁学名是,Aechmea,Guzmania,Vriesea,Tillandsia,D
183,夏堇的拉丁学名是,Tagetes erecta,Salvia splendens,Quamoclit pennata,Torenia fournieri,D
184,旱金莲的拉丁学名是,Quamoclit pennata,Tropaeolum majus,Torenia fournieri,Tagetes erecta,B
185,现代郁金香的拉丁学名是,Typha angustata,Thalia dealbata,Tulipa spp.,Tagetes erecta,C
186,香蒲的拉丁学名是,Typha angustata,Scirpus tabernaemontani,Tropaeolum majus,Thalia dealbata,A
187,万带兰属的拉丁学名是,Phalaenopsis,Paphiopedilum,Vanda,Oncidium,C
188,美女樱的拉丁学名是,Tropaeolum majus,Tagetes erecta,Verbena × hybrida,Viola × wittrockiana,C
189,穗状婆婆纳的拉丁学名是,Veronica spicata,Viola × wittrockiana,Verbena × hybrida,Victoria amazonica,A
190,王莲的拉丁学名是,Veronica spicata,Viola × wittrockiana,Verbena × hybrida,Victoria amazonica,D
191,大花三色堇的拉丁学名是,Verbena × hybrida,Viola × wittrockiana,Tropaeolum majus,Tagetes erecta,B
192,丽穗凤梨属的拉丁学名是,Spathiphyllum,Aechmea,Guzmania,Vriesea,D
193,马蹄莲的拉丁学名是,Zygocactus truncactus,Zephyranthes candida,Zebrina pendula,Zantedeschia aethiopica,D
194,吊竹梅的拉丁学名是,Zephyranthes carinata,Zygocactus truncactus,Zantedeschia aethiopica,Zebrina pendula,D
195,葱兰的拉丁学名是,Zephyranthes carinata,Zephyranthes candida,Zantedeschia aethiopica,Zygocactus truncactus,B
196,韭兰的拉丁学名是,Zebrina pendula,Narcissus tazetta var. chinensis,Zygocactus truncactus,Zephyranthes carinata,D
197,百日草的拉丁学名是,Zinnia elegans,Viola × wittrockiana,Tropaeolum majus,Tagetes erecta,A
198,蟹爪兰的拉丁学名是,Lithops pseudotruncatella,Zygocactus truncactus,Opuntia dillenii,Adiantum capillus-veneris,B
